"ADDRESS","TOWN_DESC","ZIP_CODE","ZIP_CODE_4","NO_BEDROOMS","BTH_DESC","SALE_PRICE","SETTLED_DATE","SQUARE_FEET","TOTAL_BLDG_SF_CI","LOT_SIZE","YEAR_BUILT","PROP_TYPE","STYLE_SF","GARAGE_SPACES_SF","PARKING_SPACES_SF","MARKET_TIME","LIST_PRICE","PRICE_PER_SQFT","HEATING_SF","SITE_CONDITION_CI","REMARKS","FIRM_RMK1","RSU_UNITS_CI","SALE_OFFICE","MAIN_SO","SALE_AGENT","LIST_AGENT","COUNTY","LIST_OFFICE","STREET_NAME","STREET_NUM","NO_HALF_BATHS","COOLING_CC","COL_COMMON_MF","COOLING_SF","HEA_COMMON_MF","HTE_MF","HEATING_CC","GARAGE_SPACES_CC","TOTAL_PARKING_CC","PARKING_SPACES_MF","PARKING_SPACES_CC","TOTAL_PARKING_SF","TOTAL_PARKING_MF","CONSTRUCTION_SF","CONSTRUCTION_MF","CONSTRUCTION_CC","STATUS","STATUS_DATE","CONTINGENCY_TYPE","TAXES","TAX_YEAR","REQD_OWN_ASSOCIATION_MH","REQD_OWN_ASSOCIATION_SF","REQD_OWN_ASSOCIATION_LD","ASSESSMENTS","ASSESSED_VALUE_BLDG_CI","ASSESSED_VALUE_LAND_CI","TOTAL_ASSESSED_VALUE_CI","PHOTO_DATE","INTERIOR_FEATURES_SF","IFE_COMMON_MF","INTERIOR_FEATURES_CC","CSO_ListDate","ACTIVE_STATUS_FLAG_DATE","LIST_DATE","OFF_MKT_DATE","OFFER_DATE","CTG_EXPIRY_DATE"
"17 Captain Cook Lane U:17","Barnstable, MA","02632",,2,"1f 1h",375000.00,"12/08/2022",1224,,,1997,"CC",,,,37,389000.00,306.37,,,"Home Beautiful..The owner has done a wonderful job of updating this town house..Kitchen,Both Bathrooms ,flooring .You will not be disappointed. Lovely bookcase that separates living room from Dining area..Buyers and Buyers agent to verify all information as it may vary.","",,"AN6041","AN6041","CN240287","A9501829","Barnstable","AN7136","Captain Cook Lane",17,1,"Central Air",,,,,"Gas",0,2,,2,0,0,,,,"SLD",12/8/2022 5:26:00 PM,,2665.12,"2022",,,,223,,,,9/20/2022 10:22:00 PM,,,,,,"09/20/2022","10/27/2022","10/27/2022",
"69 Captain Cook Ln U:69","Barnstable, MA","02632","1905",2,"1f 1h",380000.00,"12/09/2022",1224,,,1972,"CC",,,,29,380000.00,310.46,,,"Bright, updated condo in the picturesque Center Village Association - a great central location convenient to all your Cape Cod interests and activities. The open floor plan gives a feeling of spaciousness as you enter the home. Granite kitchen counters, newer stainless appliances, easy care flooring and a charming brick look wall are some of the great features on the ground level. Sliders lead to the fenced patio with back gate for easy access to poolside fun. Upstairs are two bedrooms and an updated full bath with laundry area. Gas heat and central air for your comfort. Beautiful home!","Sewer betterment of $107 will be ongoing through Oct. 2023 & is part of the monthly fee. ($350 +$107=$457) Buyer must pay 3 months condo fees at closing ($1,050) towards reserve fund (non-refundable). One cat or dog allowed, 1 yr min rentals, assoc. 1st right of refusal. Buyers/agents to confirm",,"H11111","H11111","H1111111","CT002958","Barnstable","A00799","Captain Cook Ln",69,1,"Central Air",,,,,"Forced Air, Gas",0,2,,2,0,0,,,,"SLD",12/9/2022 6:33:00 PM,,2665.00,"2022",,,,225300,,,,9/25/2022 7:01:00 PM,,,,,,"09/25/2022","10/23/2022","10/23/2022",
"8 Dogwood Road U:8","Bourne, MA","02532",,2,"2f 1h",650000.00,"12/02/2022",2630,,870328.00,1986,"CC",,,,53,650000.00,247.15,,,"Panoramic Canal Views from this immaculate,meticulously maintained up-dated end Townhouse with sparkling hardwood floors, 4 fireplaces,cathedral ceiling,much glass &charm.Top of the line appliances (new stove $2500)), hardwood floors,efficient up-dated Trane heating & cooling, professionally decorated.Carpeted lower level ideal for added living space.Separate mechanical and workshop area.Unit set to receive portable generator. Attractive clubhouse recently renovated with fireplaced function room, kitchen,out-door pool,sauna,work-out room,&more.No need to cross the bridge to enjoy jogging,walking,biking,roller blading the six mile path along the canal;close to beaches,market&restaurants.This is an exceptional opportunity&value for year-round residence or vacation retreat.(Dogs are allowed.)Owner had prof.appraisal:Current value:$700,000.Owner elected to discount  $50,000. to enable new owner to customize their taste.If it is not under agreement in Oct.,it will be taken off market.","",,"AN7135","AN7121","C9501149","A0000388","Barnstable","AN6520","Dogwood Road",8,1,"Central Air",,,,,"Central Heat, Gas, Individual",0,2,,2,0,0,,,"Frame","SLD",12/3/2022 3:29:00 PM,,5082.33,"2022",,,,503700,,,,9/7/2022 8:32:00 PM,,,,,,"09/07/2022","10/30/2022","10/30/2022",
"27 Baker Ln U:27H","Bourne, MA","02532","2101",2,"1f 0h",219000.00,"11/14/2022",612,,1232748.00,1930,"CC",,,,24,219000.00,357.84,,,"Value - and so many possibilities for this affordable condo in Hideaway Village -a community of free standing ""condo"" cottages. Live year round, use as your beach vacation spot, or utilize as income rental property! 2 bedroom, 1 full bath ranch.  Enjoy one floor / open living concept. Gas stove.  Gas heater. Also baseboard electric back up heating. Washer dryer hook up.  Private yard to make your own includes firepit area.  Needs some updating and tlc.  Walk to private, white sand beach at Buttermilk Bay - swimming, kayaking.  Hike in nearby Lyman reserve. Close to Buzzards Bay to enjoy the shops. HOA fee is $100/month and includes master insurance, snow removal, playground, beach rights and rubbish removal. This one could cost you less than your current rent!","",,"A95627","A95627","CN240886","CN216178","Barnstable","AN5105","Baker Ln",27,0,"Window AC",,,,,"Electric Baseboard, Gas, Space Heater",0,2,,2,0,0,,,"Frame","SLD",11/14/2022 3:24:00 PM,"Financing",1798.00,"2022",,,,178200,,,,10/3/2022 10:56:00 AM,,,,,,"09/29/2022","10/22/2022","10/09/2022","10/22/2022"
"76 Court Way U:76","Brewster, MA","02631","2924",2,"2f 0h",517000.00,"12/02/2022",1508,,,1984,"CC",,,,18,495000.00,342.84,,,"Beautiful and Bright End Unit with a 1st Floor Bedroom at The Colony in Brewster! This 1508 sf condo has 2 levels of living space including 2 Bedrooms, 2 Full Baths. The spacious living room has a cathedral ceiling, gas fireplace & sliding door out to the private patio overlooking the backyard & lovely wooded views. Open dining room/kitchen, w/SS appliances & beadboard cabinets. Primary bedroom w/private bath is on the 2nd level, as is a separate sitting/sleeping area. Laundry is on the 1st level. 3 ductless AC mini-splits provide AC & supplemental heat. Baseboard heat is gas. Most windows replaced & hot water tank is new. Being sold mostly furnished w/some exclusions. $525 monthly fee includes: indoor & outdoor pool, hot tub, sauna, fitness room, tennis, pickleball & racquetball. The Colony is a well-run complex with on-site management. One cat or dog is allowed. Enjoy easy living in a secluded neighborhood close to the Bike Trail, convenient to beaches, golf, restaurants, shopping.","",,"AN7121","AN7121","TM007567","CN231013","Barnstable","AN4812","Court Way",76,0,"Ductless Mini-Split System",,,,,"Hot Water Baseboard",0,2,,2,0,0,,,,"SLD",12/2/2022 11:47:00 AM,"Inspection",2678.00,"2023",,,,291800,,,,10/26/2022 8:33:00 PM,,,"Whole House Fan",,,"10/26/2022","11/12/2022","10/29/2022","11/12/2022"
"22 Howland Cir U:22","Brewster, MA","02631","3025",2,"1f 1h",415000.00,"11/30/2022",1032,,,1987,"CC",,,,19,415000.00,402.13,,,"The desirable 2-story, C-style townhouse is nestled in the quiet Howland Village at Ocean Edge. A beach inspired décor is the motif carried through out 22 Howland Circle.  Enter into the full kitchen with window and attached breakfast bar spanning a view of the entire living and dining area.  Enjoy your summer evenings on the fresh flower lined patio and manicured landscaping.  Bedrooms located on the 2nd floor are separated by the renovated full bathroom and stackable washer/dryer. Beat the summer heat with mini split AC units upstairs or get toasty with the gas space heater downstairs. Take this opportunity to bask in all that Howland Village has to offer - year round, seasonal or rentals.  22 Howland Circle is the townhome that is waiting for you at Ocean Edge! Property sold mostly furnished, minus sleep sofa, love seat, chair, end, sofa & cocktail tables and front bedroom dresser along with personal items.","Per condo docs, 1 pet 10lbs and under. Additional amenities are not included in the HOA, and require a separate membership. Membership is not required. Ocean Edge has ROFR. Information deemed reliable but not guaranteed.",,"AN6243","AN6181","BB900963","TM350438","Barnstable","A95627","Howland Cir",22,1,"Ductless Mini-Split System",,,,,"Electric Baseboard, Gas, Electric, Wall Unit",0,0,,0,0,0,,,,"SLD",11/30/2022 1:05:00 PM,"Inspection",1939.00,"2022",,,,247000,,,,10/15/2022 12:01:00 PM,,,,,,"10/15/2022","11/02/2022","10/17/2022","11/02/2022"
"49 Landing Ln U:49","Brewster, MA","02631",,2,"2f 0h",587000.00,"11/17/2022",1333,,,1974,"CC",,,,7,534000.00,440.36,,,"Sea Pines! This 2 BR, 2 bath condo offers a contemporary flair with cathedral ceilings in the living/dining room. The main BR is en suite and there is a 2nd full bath for guests. A loft above the bedrooms is great bonus space for guests or for working at home! The unit even comes with its own garage. Renovations include the addition of mini split AC/heat pumps, tile floors in bathrooms, laminate flooring in all other rooms, a new slider to the balcony, some windows, guest bath with walk-in shower, interior paint, and an alternating tread stairway to the loft. Also so nice to have a fireplace and laundry within the unit! Assoc. amenities are included in the condo fee: beautiful outdoor pool, clubhouse with sm. exercise room, meeting room, new tennis and pickleball courts, playground, and 1100' of private association beach on Cape Cod Bay where you can moor a boat and keep a kayak! Gradual path to the beach too! Near bike trail, shopping, and restaurants. Buyers/agents to confirm details","Seapinesbrewster.com is the Assoc. website with lots of info. Offers, if any, will be reviewed on Tues. afternoon Oct 11. Please make offers good til Wed. Oct. 12 5pm. When submitting offers, please include proof of funds or pre-qual letter. Checks payable to Kinlin Grover Realty Group LLC.",,"AN7121","AN7121","CN214311","A8002056","Barnstable","AN7121","Landing Ln",49,0,"Ductless Mini-Split System",,,,,"Electric Baseboard, Electric, Ductless Mini-Split System",1,2,,1,0,0,,,"Frame","SLD",11/18/2022 8:17:00 AM,,2903.00,"2022",,,,369800,,,,10/6/2022 10:43:00 PM,,,"Cable Available",,,"10/05/2022","10/12/2022","10/12/2022",
"120 Chilton Ln U:120","Brewster, MA","02631","3019",2,"2f 0h",358900.00,"12/07/2022",935,,,1984,"CC",,,,33,359900.00,383.85,,,"Turn key! Overlooking the golf course at Ocean Edge, this lovely 1st flr unit is tucked off Villages Dr near end of Chilton Ln. The primary BR has an ensuite bath which was renovated in 2017 with a gorgeous walk-in shower and radiant heat! Electric panel also new in 2017. Can be sold nearly fully furnished with some personal exclusions. High quality, newer furniture means you can move right in--in comfort and style! Most appliances are newer too with a stackable laundry in the unit! Joining the Ocean Edge Resort Club is optional and depending on which membership you buy, enjoy the Nicklaus-designed golf course, indoor/outdoor pools, tennis, private beach, organized social activities, paddling on Blueberry Pond, & a fitness center. Easy access to the bike path (CCRT) within the complex & just a short ride to Cape League Baseball games. Restaurants, coffee shops, & shops all close-by. Weekly rentals are allowed too which makes this a great investment! Buyers/agents to confirm all details","Offers, if any, reviewed on MON, 10/3. Please make offers good til 6pm TUES 10/4. With offers, pls include Sellers' Statement of Property Condition (attached) initialed and signed by buyers, & proof of funds or pre-qual letter. Checks payable to Kinlin Grover Realty Group LLC. Pls, no love letters.",,"AN6519","AN6527","CN215147","A8002056","Barnstable","AN7121","Chilton Ln",120,0,"Wall AC",,,,,"Electric",0,1,,1,0,0,,,"Frame","SLD",12/9/2022 11:13:00 AM,,1772.00,"2022",,,,225700,,,,9/29/2022 4:14:00 PM,,,"Cable Available",,,"09/28/2022","10/31/2022","10/31/2022",
"41 Old Wharf Road U:4","Dennis, MA","02639",,1,"1f 0h",243000.00,"11/15/2022",284,,,1965,"CC",,,,30,250000.00,855.63,,,"Welcome to the BEACHFRONT CONDOS!! Rare Opportunity to own your vey own slice of Cape Cod Heaven! Just steps to beautiful Association Beach you will find this hidden gem tucked away on a quiet lane. This sweet one bedroom condo comes completely furnished and from the backyard, you can take in the salt air while enjoying breathtaking views of Nantucket Sound. This well maintained condo complex has only 20 units and offers on-site coin operated laundry. This wonderful turn-key unit is shiny and bright, & comes with gleaming hardwood floors, kitchen and bath. It has a great rental history and is open April through November. It is currently rented until August 28th, so no showings until August 28 after noon.   NO PETS & NO SMOKING ALLOWED. This could be your perfect Cape Cod Get-away at a very affordable price and low HOA fees.  A rare opportunity!!","Great opportunity.  Buyers financing fell trhough.",,"A23861","A23861","BB904389","A9501481","Barnstable","A95308","Old Wharf Road",41,0,"None",,,,,"Electric Baseboard",0,1,,1,0,0,,,"Frame","SLD",11/15/2022 5:33:00 PM,,998.00,"2022",,,,178300,,,,8/29/2022 11:27:00 AM,,,,"08/25/2022",,"08/25/2022","10/19/2022","10/19/2022",
"381 Great Oak Rd U:20","Mashpee, MA","02649","4036",2,"3f 1h",685000.00,"11/18/2022",2507,,,1982,"CC",,,,10,695000.00,273.23,,,"Spacious Bayview Townhouse offers spectacular views and sunsets within a private waterfront paradise surrounded by conservation land. Association amenities include dock, kayak racks, pool & tennis courts for this gated community. Interior space sparkles with major renovations like a dream kitchen design for both function and style. This 2152 sf condo with 2 bedrooms got even bigger with the addition of 2 rooms and a full bath in the finished lower level. Level 1 has a kitchen with dining area, half bath, living room opening to patio and fireplace. Level 2 has a Master with a private bath and balcony, 2nd Bedroom, Full Bath and Laundry. Level 3 is a large light-filled multipurpose space, soaring ceilings with 3 skylights, kitchenette and opens to deck with water views. Layout offers incredible space flexibility to accommodate office, playroom, entertainment or family room and extra guest quarters. This hidden gem is just minutes to South Cape Beach and Mashpee Commons.","Showings will begin at same time as first Open House at Noon on Sat Oct 1st. Gate will be open during Open House. Call/text Susan to schedule appts. Note: This is a 2 bedroom condo unit. The owner will be removing a bed shown in a photo in one of the finished lower level rooms.",,"K01549","AN8457","K0001932","A9501009","Barnstable","AN7131","Great Oak Rd",381,1,"Central Air",,,,,"Forced Air, Gas",0,1,,1,0,0,,,,"SLD",11/29/2022 6:00:00 PM,,4177.00,"2022",,,,511300,,,,9/27/2022 2:51:00 PM,,,,"10/01/2022",,"10/01/2022","10/11/2022","10/11/2022",
"24 Ryans Way U:4","Mashpee, MA","02649","3249",2,"1f 0h",340000.00,"12/09/2022",808,,,1987,"CC",,,,47,345000.00,420.79,,,"Sandpiper Condominiums. Seldom do these units come on the market. Spacious 2nd floor 1 level living, The palladium windows, multiple sliders, and vaulted ceilings make this 2 bedroom filled with natural light. Washer/dryer in unit, The full length deck over looks a lovely pool and courtyard. Bonus is your own private basement room for extra storage. The owners love the ''city'' feel to this unit. Just take the path to Mashpee commons for shopping, dining and entertainment. Easy access to South cape Beach, and downtown Falmouth and Hyannis centers. Pet yes with approval.","no lettered trucks, 1 parking but enough guest spots for 2 cars. Condo fee is 397 with 13 payments. covers snow removal, trash, pool, landscaping, exterior maintenance and repairs, common area lighting. RENTALS no more than 3 times per year, or less than 1 month (no Air BnB)",,"A95532","A95532","A8002133","A9501720","Barnstable","AN3865","Ryans Way",24,0,"Central Air",,,,,"Gas",0,1,,1,0,0,,,,"SLD",12/10/2022 5:54:00 PM,"Financing",1857.00,"2022",,,,227300,,,,10/9/2022 10:00:00 AM,,,,,,"09/17/2022","11/03/2022","10/26/2022","11/09/2022"
