page_index,record_index,inst_raw,book_page_raw,ref_book_page_raw,recorded_at_raw,town_primary,address_primary,consideration_raw,descr_raw,parties_n
,,19407,23778-146,,03-22-2021 3:23:01p,SPRINGFIELD,575-577 ARMORY ST,"230,000.00",ARMORY ST,5
,,19437,23778-280,23571-535,03-22-2021 3:53:55p,SPRINGFIELD,86-88 CLIFTON AVE,,,1
