stitched_page,stitched_record,stitched_refs,best_overlap,best_record_index,best_inst,best_refs
79,3,HOLYOKE | BULLARD AVE || HOLYOKE | 12 MONTGOMERY AVE,2,3,7425,HOLYOKE|BULLARD AVE || HOLYOKE|12 MONTGOMERY AVE
82,3,HOLYOKE | 293-297 PLEASANT ST || HOLYOKE | 430 PLEASANT ST,2,3,7681,HOLYOKE|430 PLEASANT ST || HOLYOKE|293-297 PLEASANT ST
88,4,HOLLAND | 5 HAMILTO DR || WESTFIELD | 23 GREEN AVE || WESTFIELD | 25 GREEN AVE || WESTFIELD | 27 GREEN AVE,4,4,8000,WESTFIELD|25 GREEN AVE || HOLLAND|5 HAMILTO DR || WESTFIELD|23 GREEN AVE || WESTFIELD|27 GREEN AVE
93,2,HOLYOKE | 2 ARBOR WAY || HOLYOKE | 2 ARBOR WAY UNIT C,2,2,8305,HOLYOKE|2 ARBOR WAY || HOLYOKE|2 ARBOR WAY UNIT C
96,4,MONSON | LAKESHORE DR || MONSON | 86 LAKESHORE DR,2,4,8385,MONSON|LAKESHORE DR || MONSON|86 LAKESHORE DR
99,3,PALMER | MAIN ST || PALMER | 2187-2189 MAIN ST,2,3,8514,PALMER|MAIN ST || PALMER|2187-2189 MAIN ST
106,6,AGAWAM | 105 S WESTFIELD ST || AGAWAM | 105 SOUTH WESTFIELD ST,2,6,8808,AGAWAM|105 S WESTFIELD ST || AGAWAM|105 SOUTH WESTFIELD ST
109,3,AGAWAM | 10-12 RANDALL ST || AGAWAM | 12 RANDALL ST,2,3,9025,AGAWAM|10-12 RANDALL ST || AGAWAM|12 RANDALL ST
110,2,SOUTHWICK | 120 NORTH LAKE AVE || SOUTHWICK | 537 GRIFFIN RD || SOUTHWICK | 560 GRIFFIN RD,3,2,9198,SOUTHWICK|537 GRIFFIN RD || SOUTHWICK|120 NORTH LAKE AVE || SOUTHWICK|560 GRIFFIN RD
111,1,PALMER | 103 A&B SOUTH HIGH ST || PALMER | 103 SOUTH HIGH ST,2,1,9246,PALMER|103 SOUTH HIGH ST || PALMER|103 A&B SOUTH HIGH ST
